title,year,rating,voting,duration,link
Heat,1995,8.3,726000.0,170,https://www.imdb.com/title/tt0113277/?ref_=chttp_t_111
Up,2009,8.3,1100000.0,96,https://www.imdb.com/title/tt1049413/?ref_=chttp_t_112
A Clockwork Orange,1971,8.3,887000.0,136,https://www.imdb.com/title/tt0066921/?ref_=chttp_t_113
To Kill a Mockingbird,1962,8.3,335000.0,129,https://www.imdb.com/title/tt0056592/?ref_=chttp_t_114
The Sting,1973,8.3,282000.0,129,https://www.imdb.com/title/tt0070735/?ref_=chttp_t_115
A Separation,2011,8.3,260000.0,123,https://www.imdb.com/title/tt1832382/?ref_=chttp_t_116
Indiana Jones and the Last Crusade,1989,8.2,817000.0,127,https://www.imdb.com/title/tt0097576/?ref_=chttp_t_117
Die Hard,1988,8.2,953000.0,132,https://www.imdb.com/title/tt0095016/?ref_=chttp_t_118
Like Stars on Earth,2007,8.3,209000.0,162,https://www.imdb.com/title/tt0986264/?ref_=chttp_t_119
Metropolis,1927,8.3,187000.0,153,https://www.imdb.com/title/tt0017136/?ref_=chttp_t_120
Snatch,2000,8.2,918000.0,102,https://www.imdb.com/title/tt0208092/?ref_=chttp_t_121
1917,2019,8.2,688000.0,119,https://www.imdb.com/title/tt8579674/?ref_=chttp_t_122
L.A. Confidential,1997,8.2,623000.0,138,https://www.imdb.com/title/tt0119488/?ref_=chttp_t_123
Bicycle Thieves,1948,8.3,177000.0,89,https://www.imdb.com/title/tt0040522/?ref_=chttp_t_124
Hamilton,2020,8.3,116000.0,160,https://www.imdb.com/title/tt8503618/?ref_=chttp_t_125
Taxi Driver,1976,8.2,932000.0,114,https://www.imdb.com/title/tt0075314/?ref_=chttp_t_126
Downfall,2004,8.2,378000.0,156,https://www.imdb.com/title/tt0363163/?ref_=chttp_t_127
Dangal,2016,8.3,214000.0,161,https://www.imdb.com/title/tt5074352/?ref_=chttp_t_128
Batman Begins,2005,8.2,1600000.0,140,https://www.imdb.com/title/tt0372784/?ref_=chttp_t_129
For a Few Dollars More,1965,8.2,277000.0,132,https://www.imdb.com/title/tt0059578/?ref_=chttp_t_130
The Wolf of Wall Street,2013,8.2,1600000.0,0,https://www.imdb.com/title/tt0993846/?ref_=chttp_t_131
Some Like It Hot,1959,8.2,286000.0,121,https://www.imdb.com/title/tt0053291/?ref_=chttp_t_132
Green Book,2018,8.2,584000.0,130,https://www.imdb.com/title/tt6966692/?ref_=chttp_t_133
The Kid,1921,8.2,136000.0,68,https://www.imdb.com/title/tt0012349/?ref_=chttp_t_134
The Father,2020,8.2,197000.0,97,https://www.imdb.com/title/tt10272386/?ref_=chttp_t_135
Judgment at Nuremberg,1961,8.3,86000.0,179,https://www.imdb.com/title/tt0055031/?ref_=chttp_t_136
The Truman Show,1998,8.2,1200000.0,103,https://www.imdb.com/title/tt0120382/?ref_=chttp_t_137
All About Eve,1950,8.2,140000.0,138,https://www.imdb.com/title/tt0042192/?ref_=chttp_t_138
Shutter Island,2010,8.2,1500000.0,138,https://www.imdb.com/title/tt1130884/?ref_=chttp_t_139
Top Gun: Maverick,2022,8.2,717000.0,130,https://www.imdb.com/title/tt1745960/?ref_=chttp_t_140
There Will Be Blood,2007,8.2,647000.0,158,https://www.imdb.com/title/tt0469494/?ref_=chttp_t_141
Casino,1995,8.2,570000.0,178,https://www.imdb.com/title/tt0112641/?ref_=chttp_t_142
Jurassic Park,1993,8.2,1100000.0,127,https://www.imdb.com/title/tt0107290/?ref_=chttp_t_143
Ran,1985,8.2,138000.0,160,https://www.imdb.com/title/tt0089881/?ref_=chttp_t_144
The Sixth Sense,1999,8.2,1100000.0,107,https://www.imdb.com/title/tt0167404/?ref_=chttp_t_145
Pan's Labyrinth,2006,8.2,707000.0,118,https://www.imdb.com/title/tt0457430/?ref_=chttp_t_146
Unforgiven,1992,8.2,440000.0,130,https://www.imdb.com/title/tt0105695/?ref_=chttp_t_147
No Country for Old Men,2007,8.2,1100000.0,122,https://www.imdb.com/title/tt0477348/?ref_=chttp_t_148
A Beautiful Mind,2001,8.2,994000.0,135,https://www.imdb.com/title/tt0268978/?ref_=chttp_t_149
The Thing,1982,8.2,472000.0,109,https://www.imdb.com/title/tt0084787/?ref_=chttp_t_150
Kill Bill: Vol. 1,2003,8.2,1200000.0,111,https://www.imdb.com/title/tt0266697/?ref_=chttp_t_151
The Treasure of the Sierra Madre,1948,8.2,133000.0,126,https://www.imdb.com/title/tt0040897/?ref_=chttp_t_152
Yojimbo,1961,8.2,132000.0,110,https://www.imdb.com/title/tt0055630/?ref_=chttp_t_153
Monty Python and the Holy Grail,1975,8.2,574000.0,91,https://www.imdb.com/title/tt0071853/?ref_=chttp_t_154
The Great Escape,1963,8.2,261000.0,172,https://www.imdb.com/title/tt0057115/?ref_=chttp_t_155
Finding Nemo,2003,8.2,1100000.0,100,https://www.imdb.com/title/tt0266543/?ref_=chttp_t_156
Prisoners,2013,8.2,821000.0,153,https://www.imdb.com/title/tt1392214/?ref_=chttp_t_157
Howl's Moving Castle,2004,8.2,456000.0,119,https://www.imdb.com/title/tt0347149/?ref_=chttp_t_158
Rashomon,1950,8.2,182000.0,88,https://www.imdb.com/title/tt0042876/?ref_=chttp_t_159
The Elephant Man,1980,8.2,260000.0,124,https://www.imdb.com/title/tt0080678/?ref_=chttp_t_160
Dial M for Murder,1954,8.2,191000.0,105,https://www.imdb.com/title/tt0046912/?ref_=chttp_t_161
Chinatown,1974,8.1,353000.0,130,https://www.imdb.com/title/tt0071315/?ref_=chttp_t_162
Gone with the Wind,1939,8.2,337000.0,238,https://www.imdb.com/title/tt0031381/?ref_=chttp_t_163
"Lock, Stock and Two Smoking Barrels",1998,8.1,620000.0,107,https://www.imdb.com/title/tt0120735/?ref_=chttp_t_164
Inside Out,2015,8.1,813000.0,95,https://www.imdb.com/title/tt2096673/?ref_=chttp_t_165
V for Vendetta,2005,8.1,1200000.0,132,https://www.imdb.com/title/tt0434409/?ref_=chttp_t_166
The Secret in Their Eyes,2009,8.2,224000.0,129,https://www.imdb.com/title/tt1305806/?ref_=chttp_t_167
Raging Bull,1980,8.1,383000.0,129,https://www.imdb.com/title/tt0081398/?ref_=chttp_t_168
"Three Billboards Outside Ebbing, Missouri",2017,8.1,560000.0,115,https://www.imdb.com/title/tt5027774/?ref_=chttp_t_169
Trainspotting,1996,8.1,731000.0,93,https://www.imdb.com/title/tt0117951/?ref_=chttp_t_170
The Bridge on the River Kwai,1957,8.1,235000.0,161,https://www.imdb.com/title/tt0050212/?ref_=chttp_t_171
Klaus,2019,8.2,192000.0,96,https://www.imdb.com/title/tt4729430/?ref_=chttp_t_172
Fargo,1996,8.1,732000.0,98,https://www.imdb.com/title/tt0116282/?ref_=chttp_t_173
Catch Me If You Can,2002,8.1,1100000.0,141,https://www.imdb.com/title/tt0264464/?ref_=chttp_t_174
Warrior,2011,8.1,501000.0,140,https://www.imdb.com/title/tt1291584/?ref_=chttp_t_175
Spider-Man: No Way Home,2021,8.2,894000.0,148,https://www.imdb.com/title/tt10872600/?ref_=chttp_t_176
Gran Torino,2008,8.1,820000.0,116,https://www.imdb.com/title/tt1205489/?ref_=chttp_t_177
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,957000.0,130,https://www.imdb.com/title/tt1201607/?ref_=chttp_t_178
Million Dollar Baby,2004,8.1,726000.0,132,https://www.imdb.com/title/tt0405159/?ref_=chttp_t_179
My Neighbor Totoro,1988,8.1,386000.0,86,https://www.imdb.com/title/tt0096283/?ref_=chttp_t_180
Children of Heaven,1997,8.2,82000.0,89,https://www.imdb.com/title/tt0118849/?ref_=chttp_t_181
12 Years a Slave,2013,8.1,746000.0,134,https://www.imdb.com/title/tt2024544/?ref_=chttp_t_182
Ben-Hur,1959,8.1,255000.0,212,https://www.imdb.com/title/tt0052618/?ref_=chttp_t_183
Mad Max: Fury Road,2015,8.1,1100000.0,0,https://www.imdb.com/title/tt1392190/?ref_=chttp_t_184
Blade Runner,1982,8.1,829000.0,117,https://www.imdb.com/title/tt0083658/?ref_=chttp_t_185
Before Sunrise,1995,8.1,344000.0,101,https://www.imdb.com/title/tt0112471/?ref_=chttp_t_186
Barry Lyndon,1975,8.1,185000.0,185,https://www.imdb.com/title/tt0072684/?ref_=chttp_t_187
The Grand Budapest Hotel,2014,8.1,895000.0,99,https://www.imdb.com/title/tt2278388/?ref_=chttp_t_188
Gone Girl,2014,8.1,1100000.0,149,https://www.imdb.com/title/tt2267998/?ref_=chttp_t_189
Hacksaw Ridge,2016,8.1,604000.0,139,https://www.imdb.com/title/tt2119532/?ref_=chttp_t_190
Dead Poets Society,1989,8.1,554000.0,128,https://www.imdb.com/title/tt0097165/?ref_=chttp_t_191
Memories of Murder,2003,8.1,221000.0,132,https://www.imdb.com/title/tt0353969/?ref_=chttp_t_192
The Gold Rush,1925,8.1,120000.0,95,https://www.imdb.com/title/tt0015864/?ref_=chttp_t_193
In the Name of the Father,1993,8.1,189000.0,133,https://www.imdb.com/title/tt0107207/?ref_=chttp_t_194
"Monsters, Inc.",2001,8.1,989000.0,92,https://www.imdb.com/title/tt0198781/?ref_=chttp_t_195
Wild Tales,2014,8.1,219000.0,122,https://www.imdb.com/title/tt3011894/?ref_=chttp_t_196
The Deer Hunter,1978,8.1,365000.0,183,https://www.imdb.com/title/tt0077416/?ref_=chttp_t_197
The General,1926,8.1,99000.0,78,https://www.imdb.com/title/tt0017925/?ref_=chttp_t_198
On the Waterfront,1954,8.1,167000.0,108,https://www.imdb.com/title/tt0047296/?ref_=chttp_t_199
Sherlock Jr.,1924,8.2,58000.0,0,https://www.imdb.com/title/tt0015324/?ref_=chttp_t_200
Jaws,1975,8.1,668000.0,124,https://www.imdb.com/title/tt0073195/?ref_=chttp_t_201
How to Train Your Dragon,2010,8.1,808000.0,98,https://www.imdb.com/title/tt0892769/?ref_=chttp_t_202
Ratatouille,2007,8.1,838000.0,111,https://www.imdb.com/title/tt0382932/?ref_=chttp_t_203
Mary and Max,2009,8.1,188000.0,92,https://www.imdb.com/title/tt0978762/?ref_=chttp_t_204
The Third Man,1949,8.1,183000.0,93,https://www.imdb.com/title/tt0041959/?ref_=chttp_t_205
The Wages of Fear,1953,8.1,67000.0,131,https://www.imdb.com/title/tt0046268/?ref_=chttp_t_206
Wild Strawberries,1957,8.1,116000.0,91,https://www.imdb.com/title/tt0050986/?ref_=chttp_t_207
Mr. Smith Goes to Washington,1939,8.1,122000.0,129,https://www.imdb.com/title/tt0031679/?ref_=chttp_t_208
Ford v Ferrari,2019,8.1,487000.0,152,https://www.imdb.com/title/tt1950186/?ref_=chttp_t_209
Tokyo Story,1953,8.1,69000.0,136,https://www.imdb.com/title/tt0046438/?ref_=chttp_t_210
The Big Lebowski,1998,8.1,867000.0,117,https://www.imdb.com/title/tt0118715/?ref_=chttp_t_211
Rocky,1976,8.1,634000.0,0,https://www.imdb.com/title/tt0075148/?ref_=chttp_t_212
The Seventh Seal,1957,8.1,200000.0,96,https://www.imdb.com/title/tt0050976/?ref_=chttp_t_213
Room,2015,8.1,454000.0,118,https://www.imdb.com/title/tt3170832/?ref_=chttp_t_214
Logan,2017,8.1,842000.0,137,https://www.imdb.com/title/tt3315342/?ref_=chttp_t_215
Spotlight,2015,8.1,505000.0,129,https://www.imdb.com/title/tt1895587/?ref_=chttp_t_216
Hotel Rwanda,2004,8.1,374000.0,121,https://www.imdb.com/title/tt0395169/?ref_=chttp_t_217
The Terminator,1984,8.1,933000.0,107,https://www.imdb.com/title/tt0088247/?ref_=chttp_t_218
Platoon,1986,8.1,443000.0,0,https://www.imdb.com/title/tt0091763/?ref_=chttp_t_219
La haine,1995,8.1,199000.0,98,https://www.imdb.com/title/tt0113247/?ref_=chttp_t_220
Before Sunset,2004,8.1,291000.0,80,https://www.imdb.com/title/tt0381681/?ref_=chttp_t_221
The Passion of Joan of Arc,1928,8.1,61000.0,114,https://www.imdb.com/title/tt0019254/?ref_=chttp_t_222
